"bucket","qty","cluster","month","predicted"
0,4640,0,0,64914
15,534958,0,0,211304
30,366940,0,0,343914
45,176656,0,0,373165
60,262440,0,0,303677
75,65532,0,0,197703
90,72608,0,0,107259
105,30648,0,0,49878
120,127331,0,0,20295
135,3658,0,0,7340
150,4567,0,0,2389
165,1786,0,0,707
180,10567,0,0,192
195,1219,0,0,48
210,1547,0,0,11
225,796,0,0,2
240,16907,0,0,0
0,380,0,1,5695
15,44076,0,1,17961
30,29593,0,1,28320
45,14115,0,1,29770
60,20158,0,1,23471
75,5029,0,1,14803
90,5447,0,1,7781
105,2302,0,1,3505
120,9431,0,1,1382
135,268,0,1,484
150,307,0,1,153
165,117,0,1,44
180,698,0,1,12
195,93,0,1,3
210,107,0,1,1
225,55,0,1,0
240,1208,0,1,0
0,447,0,2,5784
15,47260,0,2,18676
30,31829,0,2,30152
45,15141,0,2,32453
60,22544,0,2,26198
75,5627,0,2,16918
90,6313,0,2,9105
105,2658,0,2,4200
120,10747,0,2,1695
135,341,0,2,608
150,408,0,2,196
165,132,0,2,58
180,856,0,2,16
195,87,0,2,4
210,135,0,2,1
225,72,0,2,0
240,1466,0,2,0
0,348,0,3,5129
15,41238,0,3,16584
30,28254,0,3,26812
45,14012,0,3,28897
60,20374,0,3,23359
75,5227,0,3,15105
90,5806,0,3,8140
105,2463,0,3,3760
120,9418,0,3,1520
135,279,0,3,546
150,295,0,3,177
165,119,0,3,52
180,799,0,3,14
195,89,0,3,3
210,115,0,3,1
225,60,0,3,0
240,1203,0,3,0
0,404,0,4,5664
15,47359,0,4,18533
30,32441,0,4,30321
45,15775,0,4,33070
60,23202,0,4,27052
75,5854,0,4,17703
90,6484,0,4,9654
105,2839,0,4,4513
120,11210,0,4,1846
135,287,0,4,671
150,412,0,4,220
165,152,0,4,65
180,980,0,4,18
195,126,0,4,4
210,177,0,4,1
225,72,0,4,0
240,1562,0,4,0
0,384,0,5,5544
15,46386,0,5,18132
30,31866,0,5,29650
45,15195,0,5,32323
60,22800,0,5,26427
75,5646,0,5,17286
90,6318,0,5,9422
105,2621,0,5,4402
120,10893,0,5,1800
135,322,0,5,654
150,383,0,5,214
165,157,0,5,64
180,1057,0,5,17
195,101,0,5,4
210,138,0,5,1
225,72,0,5,0
240,1601,0,5,0
0,355,0,6,4725
15,39852,0,6,15555
30,27383,0,6,25601
45,13438,0,6,28091
60,20076,0,6,23117
75,5081,0,6,15219
90,5478,0,6,8350
105,2240,0,6,3926
120,9827,0,6,1616
135,276,0,6,591
150,363,0,6,195
165,171,0,6,58
180,901,0,6,16
195,99,0,6,4
210,138,0,6,1
225,69,0,6,0
240,1317,0,6,0
0,387,0,7,5482
15,43231,0,7,17611
30,30078,0,7,28288
45,14457,0,7,30292
60,21508,0,7,24329
75,5370,0,7,15632
90,5899,0,7,8370
105,2473,0,7,3841
120,9817,0,7,1542
135,253,0,7,551
150,339,0,7,177
165,145,0,7,52
180,774,0,7,14
195,80,0,7,3
210,92,0,7,1
225,46,0,7,0
240,1234,0,7,0
0,376,0,8,5624
15,45521,0,8,18201
30,31213,0,8,29451
45,14896,0,8,31769
60,22668,0,8,25702
75,5544,0,8,16635
90,6086,0,8,8972
105,2578,0,8,4148
120,10977,0,8,1678
135,275,0,8,603
150,359,0,8,195
165,143,0,8,57
180,822,0,8,15
195,83,0,8,4
210,104,0,8,1
225,65,0,8,0
240,1347,0,8,0
0,360,0,9,4755
15,42196,0,9,15854
30,28787,0,9,26432
45,13674,0,9,29379
60,20849,0,9,24490
75,5129,0,9,16332
90,5764,0,9,9076
105,2390,0,9,4323
120,10294,0,9,1802
135,361,0,9,668
150,464,0,9,223
165,174,0,9,67
180,940,0,9,19
195,124,0,9,5
210,153,0,9,1
225,67,0,9,0
240,1700,0,9,0
0,439,0,10,5812
15,48224,0,10,18920
30,32790,0,10,30797
45,15628,0,10,33418
60,23305,0,10,27197
75,5753,0,10,17708
90,6465,0,10,9608
105,2759,0,10,4468
120,11487,0,10,1818
135,379,0,10,658
150,448,0,10,214
165,181,0,10,63
180,944,0,10,17
195,135,0,10,4
210,144,0,10,1
225,68,0,10,0
240,1555,0,10,0
0,379,0,11,4845
15,42151,0,11,16215
30,29377,0,11,27135
45,14092,0,11,30273
60,22197,0,11,25331
75,5559,0,11,16956
90,6107,0,11,9458
105,2682,0,11,4522
120,11665,0,11,1892
135,344,0,11,704
150,424,0,11,235
165,163,0,11,72
180,889,0,11,20
195,116,0,11,5
210,133,0,11,1
225,83,0,11,0
240,1305,0,11,0
0,381,0,12,5935
15,47464,0,12,19163
30,33329,0,12,30939
45,16233,0,12,33301
60,22759,0,12,26882
75,5713,0,12,17361
90,6441,0,12,9343
105,2643,0,12,4310
120,11565,0,12,1740
135,273,0,12,624
150,365,0,12,202
165,132,0,12,59
180,907,0,12,16
195,86,0,12,4
210,111,0,12,1
225,67,0,12,0
240,1409,0,12,0
0,1466,5,0,8590
15,81692,5,0,31892
30,62830,5,0,59205
45,36493,5,0,73271
60,69466,5,0,68010
75,18103,5,0,50501
90,20230,5,0,31250
105,10210,5,0,16575
120,49812,5,0,7692
135,136,5,0,3173
150,196,5,0,1178
165,59,5,0,398
180,433,5,0,123
195,46,5,0,35
210,51,5,0,9
225,35,5,0,2
240,648,5,0,1
0,148,5,1,856
15,7489,5,1,3081
30,5878,5,1,5544
45,3516,5,1,6651
60,5908,5,1,5984
75,1606,5,1,4307
90,1697,5,1,2583
