"cluster","month","tod","dotw","ave_occupancy","dotw_string"
"1",1,"Afternoon",2,0.166617569788126,"Monday"
"1",1,"Afternoon",3,0.245000531491101,"Tuesday"
"1",1,"Afternoon",4,0.288604797979798,"Wednesday"
"1",1,"Afternoon",5,0.233381523168328,"Thursday"
"1",1,"Afternoon",6,0.255326351349169,"Friday"
"1",1,"Afternoon",7,0.225599532784635,"Saturday"
"1",1,"Midday",2,0.2261673718675,"Monday"
"1",1,"Midday",3,0.372800056342256,"Tuesday"
"1",1,"Midday",4,0.385176767676768,"Wednesday"
"1",1,"Midday",5,0.325151241051976,"Thursday"
"1",1,"Midday",6,0.331441822953971,"Friday"
"1",1,"Midday",7,0.201501873256988,"Saturday"
"1",1,"Morning",2,0.127356379530293,"Monday"
"1",1,"Morning",3,0.22698921224177,"Tuesday"
"1",1,"Morning",4,0.239681598594642,"Wednesday"
"1",1,"Morning",5,0.214073371718033,"Thursday"
"1",1,"Morning",6,0.184652649762145,"Friday"
"1",1,"Morning",7,0.116729132913596,"Saturday"
"1",2,"Afternoon",2,0.311006726693667,"Monday"
"1",2,"Afternoon",3,0.284174501281079,"Tuesday"
"1",2,"Afternoon",4,0.318865664408943,"Wednesday"
"1",2,"Afternoon",5,0.33951441408123,"Thursday"
"1",2,"Afternoon",6,0.269546744504785,"Friday"
"1",2,"Afternoon",7,0.239594902313692,"Saturday"
"1",2,"Midday",2,0.408379263266571,"Monday"
"1",2,"Midday",3,0.387238406012383,"Tuesday"
"1",2,"Midday",4,0.425195775499484,"Wednesday"
"1",2,"Midday",5,0.44502893194709,"Thursday"
"1",2,"Midday",6,0.371905029853399,"Friday"
"1",2,"Midday",7,0.221808122403551,"Saturday"
"1",2,"Morning",2,0.267949948424693,"Monday"
"1",2,"Morning",3,0.258036600399932,"Tuesday"
"1",2,"Morning",4,0.269771059225183,"Wednesday"
"1",2,"Morning",5,0.276601817241203,"Thursday"
"1",2,"Morning",6,0.26132693899238,"Friday"
"1",2,"Morning",7,0.143107234659345,"Saturday"
"1",3,"Afternoon",2,0.19372611095657,"Monday"
"1",3,"Afternoon",3,0.194156681181138,"Tuesday"
"1",3,"Afternoon",4,0.237814376187538,"Wednesday"
"1",3,"Afternoon",5,0.231262223474699,"Thursday"
"1",3,"Afternoon",6,0.253683483769002,"Friday"
"1",3,"Afternoon",7,0.232569111408625,"Saturday"
"1",3,"Midday",2,0.256942301239776,"Monday"
"1",3,"Midday",3,0.299874757595346,"Tuesday"
"1",3,"Midday",4,0.322587506950518,"Wednesday"
"1",3,"Midday",5,0.297462218857679,"Thursday"
"1",3,"Midday",6,0.325611357951511,"Friday"
"1",3,"Midday",7,0.159237008373837,"Saturday"
"1",3,"Morning",2,0.158976154416532,"Monday"
"1",3,"Morning",3,0.177856996507092,"Tuesday"
"1",3,"Morning",4,0.186486917724929,"Wednesday"
"1",3,"Morning",5,0.195528417779057,"Thursday"
"1",3,"Morning",6,0.19760703301624,"Friday"
"1",3,"Morning",7,0.106416689425001,"Saturday"
"1",4,"Afternoon",2,0.236586375492226,"Monday"
"1",4,"Afternoon",3,0.30442422968478,"Tuesday"
"1",4,"Afternoon",4,0.341294488604071,"Wednesday"
"1",4,"Afternoon",5,0.310419035244203,"Thursday"
"1",4,"Afternoon",6,0.269313479261929,"Friday"
"1",4,"Afternoon",7,0.222722124711215,"Saturday"
"1",4,"Midday",2,0.321735961182892,"Monday"
"1",4,"Midday",3,0.411169329391836,"Tuesday"
"1",4,"Midday",4,0.401981858839276,"Wednesday"
"1",4,"Midday",5,0.396057931571838,"Thursday"
"1",4,"Midday",6,0.401802817635618,"Friday"
"1",4,"Midday",7,0.238570491327844,"Saturday"
"1",4,"Morning",2,0.213385326901951,"Monday"
"1",4,"Morning",3,0.251355896992086,"Tuesday"
"1",4,"Morning",4,0.226182704911126,"Wednesday"
"1",4,"Morning",5,0.233910124491167,"Thursday"
"1",4,"Morning",6,0.239712554158686,"Friday"
"1",4,"Morning",7,0.127693806442208,"Saturday"
"1",5,"Afternoon",2,0.154675969943313,"Monday"
"1",5,"Afternoon",3,0.206493110048697,"Tuesday"
"1",5,"Afternoon",4,0.231338261056931,"Wednesday"
"1",5,"Afternoon",5,0.22189657032368,"Thursday"
"1",5,"Afternoon",6,0.39586727273508,"Friday"
"1",5,"Afternoon",7,0.266854965531236,"Saturday"
"1",5,"Midday",2,0.223954289115734,"Monday"
"1",5,"Midday",3,0.311173481250208,"Tuesday"
"1",5,"Midday",4,0.297133484707014,"Wednesday"
"1",5,"Midday",5,0.313698041799065,"Thursday"
"1",5,"Midday",6,0.385312640968012,"Friday"
"1",5,"Midday",7,0.273457522070853,"Saturday"
"1",5,"Morning",2,0.131574383896155,"Monday"
"1",5,"Morning",3,0.188322148096764,"Tuesday"
"1",5,"Morning",4,0.193203956813292,"Wednesday"
"1",5,"Morning",5,0.20459439561102,"Thursday"
"1",5,"Morning",6,0.194832418694311,"Friday"
"1",5,"Morning",7,0.140249528137156,"Saturday"
"1",6,"Afternoon",2,0.307272623675877,"Monday"
"1",6,"Afternoon",3,0.272918151421788,"Tuesday"
"1",6,"Afternoon",4,0.19621814229391,"Wednesday"
"1",6,"Afternoon",5,0.251054793148383,"Thursday"
"1",6,"Afternoon",6,0.239624268061968,"Friday"
"1",6,"Afternoon",7,0.238863260034935,"Saturday"
"1",6,"Midday",2,0.33812565060567,"Monday"
"1",6,"Midday",3,0.380070766503791,"Tuesday"
"1",6,"Midday",4,0.242951929133195,"Wednesday"
"1",6,"Midday",5,0.331867826393082,"Thursday"
"1",6,"Midday",6,0.34729709022388,"Friday"
"1",6,"Midday",7,0.274969871229462,"Saturday"
"1",6,"Morning",2,0.236088444300561,"Monday"
"1",6,"Morning",3,0.33258542484086,"Tuesday"
"1",6,"Morning",4,0.149272926354928,"Wednesday"
"1",6,"Morning",5,0.202972674999529,"Thursday"
"1",6,"Morning",6,0.194384325150789,"Friday"
"1",6,"Morning",7,0.229925378684969,"Saturday"
"1",7,"Afternoon",2,0.213335484404059,"Monday"
"1",7,"Afternoon",3,0.218814585616855,"Tuesday"
"1",7,"Afternoon",4,0.222369624727361,"Wednesday"
"1",7,"Afternoon",5,0.161293967315187,"Thursday"
"1",7,"Afternoon",6,0.20070288511485,"Friday"
"1",7,"Afternoon",7,0.175229586235021,"Saturday"
"1",7,"Midday",2,0.282480574980575,"Monday"
"1",7,"Midday",3,0.285110622658577,"Tuesday"
"1",7,"Midday",4,0.297806122550368,"Wednesday"
"1",7,"Midday",5,0.20816060833644,"Thursday"
"1",7,"Midday",6,0.332431250134255,"Friday"
"1",7,"Midday",7,0.197123796268617,"Saturday"
"1",7,"Morning",2,0.177725081823547,"Monday"
"1",7,"Morning",3,0.181263854905159,"Tuesday"
"1",7,"Morning",4,0.162288667688284,"Wednesday"
"1",7,"Morning",5,0.134974215037354,"Thursday"
"1",7,"Morning",6,0.148019563556648,"Friday"
"1",7,"Morning",7,0.111026209451721,"Saturday"
"1",8,"Afternoon",2,0.240882015891007,"Monday"
"1",8,"Afternoon",3,0.235161751212343,"Tuesday"
"1",8,"Afternoon",4,0.257161938391958,"Wednesday"
"1",8,"Afternoon",5,0.235397465386276,"Thursday"
"1",8,"Afternoon",6,0.213485402065965,"Friday"
"1",8,"Afternoon",7,0.179288514483527,"Saturday"
"1",8,"Midday",2,0.340766434504446,"Monday"
"1",8,"Midday",3,0.342025098906493,"Tuesday"
"1",8,"Midday",4,0.373258547511265,"Wednesday"
"1",8,"Midday",5,0.359430083627654,"Thursday"
"1",8,"Midday",6,0.324476373773049,"Friday"
"1",8,"Midday",7,0.192295035053986,"Saturday"
"1",8,"Morning",2,0.20418551134264,"Monday"
"1",8,"Morning",3,0.203012213614036,"Tuesday"
"1",8,"Morning",4,0.189406859391674,"Wednesday"
"1",8,"Morning",5,0.217189791595162,"Thursday"
"1",8,"Morning",6,0.16674126172208,"Friday"
"1",8,"Morning",7,0.143487095101545,"Saturday"
"1",9,"Afternoon",2,0.254631490188555,"Monday"
"1",9,"Afternoon",3,0.334586394463912,"Tuesday"
"1",9,"Afternoon",4,0.346880778002901,"Wednesday"
"1",9,"Afternoon",5,0.364600438124855,"Thursday"
"1",9,"Afternoon",6,0.257350751359503,"Friday"
"1",9,"Afternoon",7,0.25774791498197,"Saturday"
"1",9,"Midday",2,0.385697410716592,"Monday"
"1",9,"Midday",3,0.53049257934568,"Tuesday"
"1",9,"Midday",4,0.53842429209277,"Wednesday"
"1",9,"Midday",5,0.540745040605175,"Thursday"
"1",9,"Midday",6,0.422998871244555,"Friday"
"1",9,"Midday",7,0.251607864819182,"Saturday"
"1",9,"Morning",2,0.252688345210724,"Monday"
"1",9,"Morning",3,0.383023849551983,"Tuesday"
"1",9,"Morning",4,0.345924922471438,"Wednesday"
"1",9,"Morning",5,0.372849539189853,"Thursday"
"1",9,"Morning",6,0.272927667464912,"Friday"
"1",9,"Morning",7,0.177911148539345,"Saturday"
"1",10,"Afternoon",2,0.289637251158191,"Monday"
"1",10,"Afternoon",3,0.314356919810085,"Tuesday"
"1",10,"Afternoon",4,0.317627646579053,"Wednesday"
"1",10,"Afternoon",5,0.297612946693829,"Thursday"
"1",10,"Afternoon",6,0.241933250572956,"Friday"
"1",10,"Afternoon",7,0.188899954744744,"Saturday"
"1",10,"Midday",2,0.395972015013735,"Monday"
"1",10,"Midday",3,0.454323337811189,"Tuesday"
"1",10,"Midday",4,0.429345179898249,"Wednesday"
"1",10,"Midday",5,0.469925512585359,"Thursday"
"1",10,"Midday",6,0.367751908624671,"Friday"
"1",10,"Midday",7,0.202169813083336,"Saturday"
"1",10,"Morning",2,0.23420461131059,"Monday"
"1",10,"Morning",3,0.303531006385866,"Tuesday"
"1",10,"Morning",4,0.26372445069376,"Wednesday"
"1",10,"Morning",5,0.329865804248797,"Thursday"
"1",10,"Morning",6,0.232425988895778,"Friday"
"1",10,"Morning",7,0.126086133838691,"Saturday"
"1",11,"Afternoon",2,0.217690157420017,"Monday"
"1",11,"Afternoon",3,0.313507008740585,"Tuesday"
"1",11,"Afternoon",4,0.266594171493468,"Wednesday"
"1",11,"Afternoon",5,0.253008329896517,"Thursday"
"1",11,"Afternoon",6,0.251447978705012,"Friday"
"1",11,"Afternoon",7,0.218999340386808,"Saturday"
"1",11,"Midday",2,0.314550087711852,"Monday"
"1",11,"Midday",3,0.437009867352738,"Tuesday"
"1",11,"Midday",4,0.377177726602279,"Wednesday"
"1",11,"Midday",5,0.359613634713539,"Thursday"
"1",11,"Midday",6,0.329201629927333,"Friday"
"1",11,"Midday",7,0.215974940447447,"Saturday"
"1",11,"Morning",2,0.212373756595304,"Monday"
"1",11,"Morning",3,0.305020788212924,"Tuesday"
"1",11,"Morning",4,0.250550630605778,"Wednesday"
"1",11,"Morning",5,0.22914796792674,"Thursday"
"1",11,"Morning",6,0.200030960443365,"Friday"
"1",11,"Morning",7,0.138046399938983,"Saturday"
"1",12,"Afternoon",2,0.257396760581703,"Monday"
"1",12,"Afternoon",3,0.272353837640762,"Tuesday"
"1",12,"Afternoon",4,0.135098008209821,"Wednesday"
"1",12,"Afternoon",5,0.270633314673037,"Thursday"
"1",12,"Afternoon",6,0.307468684319907,"Friday"
"1",12,"Afternoon",7,0.293581658887965,"Saturday"
"1",12,"Midday",2,0.322466321804557,"Monday"
"1",12,"Midday",3,0.400829119374516,"Tuesday"
"1",12,"Midday",4,0.25053902654606,"Wednesday"
"1",12,"Midday",5,0.324095106312178,"Thursday"
"1",12,"Midday",6,0.351923509851899,"Friday"
"1",12,"Midday",7,0.270003493209216,"Saturday"
"1",12,"Morning",2,0.180229966822038,"Monday"
"1",12,"Morning",3,0.230612183236864,"Tuesday"
"1",12,"Morning",4,0.149374082362414,"Wednesday"
"1",12,"Morning",5,0.197217113129837,"Thursday"
"1",12,"Morning",6,0.23786570183629,"Friday"
"1",12,"Morning",7,0.137841890159665,"Saturday"
"2",1,"Afternoon",2,0.0229580026455027,"Monday"
"2",1,"Afternoon",3,0.0383267195767196,"Tuesday"
"2",1,"Afternoon",4,0.0477678571428572,"Wednesday"
"2",1,"Afternoon",5,0.0541087962962963,"Thursday"
"2",1,"Afternoon",6,0.0453042328042328,"Friday"
"2",1,"Afternoon",7,0.189422123015873,"Saturday"
"2",1,"Midday",2,0.0287477954144621,"Monday"
"2",1,"Midday",3,0.0854387125220459,"Tuesday"
"2",1,"Midday",4,0.0740189594356261,"Wednesday"
"2",1,"Midday",5,0.0769262566137567,"Thursday"
"2",1,"Midday",6,0.0745838844797179,"Friday"
"2",1,"Midday",7,0.127287257495591,"Saturday"
"2",1,"Morning",2,0.0257936507936508,"Monday"
"2",1,"Morning",3,0.048423721340388,"Tuesday"
"2",1,"Morning",4,0.0431216931216931,"Wednesday"
"2",1,"Morning",5,0.0653246252204586,"Thursday"
"2",1,"Morning",6,0.0484595458553792,"Friday"
"2",1,"Morning",7,0.076099537037037,"Saturday"
"2",2,"Afternoon",2,0.0561239252645503,"Monday"
"2",2,"Afternoon",3,0.0986793154761905,"Tuesday"
"2",2,"Afternoon",4,0.0913421792328043,"Wednesday"
"2",2,"Afternoon",5,0.147561177248677,"Thursday"
"2",2,"Afternoon",6,0.194506448412698,"Friday"
"2",2,"Afternoon",7,0.414310515873016,"Saturday"
"2",2,"Midday",2,0.0463514109347443,"Monday"
"2",2,"Midday",3,0.0528962742504409,"Tuesday"
"2",2,"Midday",4,0.141024581128748,"Wednesday"
"2",2,"Midday",5,0.157727072310406,"Thursday"
"2",2,"Midday",6,0.227306547619048,"Friday"
"2",2,"Midday",7,0.40162037037037,"Saturday"
"2",2,"Morning",2,0.0404128086419753,"Monday"
"2",2,"Morning",3,0.0471919091710759,"Tuesday"
"2",2,"Morning",4,0.127011684303351,"Wednesday"
"2",2,"Morning",5,0.104839065255732,"Thursday"
"2",2,"Morning",6,0.0896301807760141,"Friday"
"2",2,"Morning",7,0.193755511463845,"Saturday"
"2",3,"Afternoon",2,0.0458829365079365,"Monday"
"2",3,"Afternoon",3,0.0641017691798942,"Tuesday"
"2",3,"Afternoon",4,0.201450892857143,"Wednesday"
"2",3,"Afternoon",5,0.0874669312169312,"Thursday"
"2",3,"Afternoon",6,0.109160052910053,"Friday"
"2",3,"Afternoon",7,0.349743716931217,"Saturday"
"2",3,"Midday",2,0.0618248456790124,"Monday"
"2",3,"Midday",3,0.0750110229276896,"Tuesday"
"2",3,"Midday",4,0.112406305114638,"Wednesday"
"2",3,"Midday",5,0.106495260141094,"Thursday"
"2",3,"Midday",6,0.170866402116402,"Friday"
"2",3,"Midday",7,0.324801587301587,"Saturday"
"2",3,"Morning",2,0.0399029982363316,"Monday"
"2",3,"Morning",3,0.0302028218694886,"Tuesday"
"2",3,"Morning",4,0.0690861992945327,"Wednesday"
"2",3,"Morning",5,0.052703373015873,"Thursday"
"2",3,"Morning",6,0.11629188712522,"Friday"
"2",3,"Morning",7,0.135493827160494,"Saturday"
"2",4,"Afternoon",2,0.0536541005291006,"Monday"
"2",4,"Afternoon",3,0.203959986772487,"Tuesday"
"2",4,"Afternoon",4,0.319341104497355,"Wednesday"
"2",4,"Afternoon",5,0.189535796957672,"Thursday"
"2",4,"Afternoon",6,0.3359375,"Friday"
"2",4,"Afternoon",7,0.590556795634921,"Saturday"
"2",4,"Midday",2,0.0595789241622575,"Monday"
"2",4,"Midday",3,0.13343253968254,"Tuesday"
"2",4,"Midday",4,0.484016754850088,"Wednesday"
"2",4,"Midday",5,0.224151234567901,"Thursday"
"2",4,"Midday",6,0.145433752204586,"Friday"
"2",4,"Midday",7,0.549286265432099,"Saturday"
"2",4,"Morning",2,0.0442570546737214,"Monday"
"2",4,"Morning",3,0.0623236331569665,"Tuesday"
"2",4,"Morning",4,0.21522266313933,"Wednesday"
"2",4,"Morning",5,0.090002204585538,"Thursday"
"2",4,"Morning",6,0.0669091710758378,"Friday"
"2",4,"Morning",7,0.176146384479718,"Saturday"
"2",5,"Afternoon",2,0.0498511904761905,"Monday"
"2",5,"Afternoon",3,0.159236524470899,"Tuesday"
