cluster,month,year,avg_occupancy,tot_revenue,toc
1,1,2024,0.123309173,"100,000",0.13
1,2,2024,0.068307679,"100,001",1.13
1,3,2024,0.0796685,"100,002",2.13
1,4,2024,0.120679359,"100,003",3.13
1,5,2024,0.165349583,"100,004",4.13
1,6,2024,0.088996864,"100,005",5.13
1,7,2024,0.126110047,"100,006",6.13
1,8,2024,0.170267265,"100,007",7.13
1,9,2024,0.123309173,"100,008",8.13
1,10,2024,0.068307679,"100,009",9.13
1,11,2024,0.0796685,"100,010",10.13
1,12,2024,0.120679359,"100,011",11.13
2,1,2024,0.165349583,"100,012",12.13
2,2,2024,0.088996864,"100,013",13.13
2,3,2024,0.126110047,"100,014",14.13
2,4,2024,0.170267265,"100,015",15.13
2,5,2024,0.123309173,"100,016",16.13
2,6,2024,0.068307679,"100,017",17.13
2,7,2024,0.0796685,"100,018",18.13
2,8,2024,0.120679359,"100,019",19.13
2,9,2024,0.165349583,"100,020",20.13
2,10,2024,0.088996864,"100,021",21.13
2,11,2024,0.126110047,"100,022",22.13
2,12,2024,0.170267265,"100,023",23.13
3,1,2024,0.123309173,"100,024",24.13
3,2,2024,0.068307679,"100,025",25.13
3,3,2024,0.0796685,"100,026",26.13
3,4,2024,0.120679359,"100,027",27.13
3,5,2024,0.165349583,"100,028",28.13
3,6,2024,0.088996864,"100,029",29.13
3,7,2024,0.126110047,"100,030",30.13
3,8,2024,0.170267265,"100,031",31.13
3,9,2024,0.123309173,"100,032",32.13
3,10,2024,0.068307679,"100,033",33.13
3,11,2024,0.0796685,"100,034",34.13
3,12,2024,0.120679359,"100,035",35.13
4,1,2024,0.165349583,"100,036",36.13
4,2,2024,0.088996864,"100,037",37.13
4,3,2024,0.126110047,"100,038",38.13
4,4,2024,0.170267265,"100,039",39.13
4,5,2024,0.123309173,"100,040",40.13
4,6,2024,0.068307679,"100,041",41.13
4,7,2024,0.0796685,"100,042",42.13
4,8,2024,0.120679359,"100,043",43.13
4,9,2024,0.165349583,"100,044",44.13
4,10,2024,0.088996864,"100,045",45.13
4,11,2024,0.126110047,"100,046",46.13
4,12,2024,0.170267265,"100,047",47.13
5,1,2024,0.123309173,"100,048",48.13
5,2,2024,0.068307679,"100,049",49.13
5,3,2024,0.0796685,"100,050",50.13
5,4,2024,0.120679359,"100,051",51.13
5,5,2024,0.165349583,"100,052",52.13
5,6,2024,0.088996864,"100,053",53.13
5,7,2024,0.126110047,"100,054",54.13
5,8,2024,0.170267265,"100,055",55.13
5,9,2024,0.123309173,"100,056",56.13
5,10,2024,0.068307679,"100,057",57.13
5,11,2024,0.0796685,"100,058",58.13
5,12,2024,0.120679359,"100,059",59.13
6,1,2024,0.165349583,"100,060",60.13
6,2,2024,0.088996864,"100,061",61.13
6,3,2024,0.126110047,"100,062",62.13
6,4,2024,0.170267265,"100,063",63.13
6,5,2024,0.123309173,"100,064",64.13
6,6,2024,0.068307679,"100,065",65.13
6,7,2024,0.0796685,"100,066",66.13
6,8,2024,0.120679359,"100,067",67.13
6,9,2024,0.165349583,"100,068",68.13
6,10,2024,0.088996864,"100,069",69.13
6,11,2024,0.126110047,"100,070",70.13
6,12,2024,0.170267265,"100,071",71.13
7,1,2024,0.123309173,"100,072",72.13
7,2,2024,0.068307679,"100,073",73.13
7,3,2024,0.0796685,"100,074",74.13
7,4,2024,0.120679359,"100,075",75.13
7,5,2024,0.165349583,"100,076",76.13
7,6,2024,0.088996864,"100,077",77.13
7,7,2024,0.126110047,"100,078",78.13
7,8,2024,0.170267265,"100,079",79.13
7,9,2024,0.123309173,"100,080",80.13
7,10,2024,0.068307679,"100,081",81.13
7,11,2024,0.0796685,"100,082",82.13
7,12,2024,0.120679359,"100,083",83.13
8,1,2024,0.165349583,"100,084",84.13
8,2,2024,0.088996864,"100,085",85.13
8,3,2024,0.126110047,"100,086",86.13
8,4,2024,0.170267265,"100,087",87.13
8,5,2024,0.123309173,"100,088",88.13
8,6,2024,0.068307679,"100,089",89.13
8,7,2024,0.0796685,"100,090",90.13
8,8,2024,0.120679359,"100,091",91.13
8,9,2024,0.165349583,"100,092",92.13
8,10,2024,0.088996864,"100,093",93.13
8,11,2024,0.126110047,"100,094",94.13
8,12,2024,0.170267265,"100,095",95.13
